viewer_id,movie_id,watch_date,minutes_watched,completed,device
V004427,M0010,2024-09-18,57,False,Mobile
V001245,M0060,2025-10-09,63,False,Web
V001094,M0003,2025-02-05,85,False,TV
V002927,M0044,2025-09-02,65,False,TV
V000819,M0022,2025-10-22,161,True,Mobile
V000002,M0003,2025-05-18,75,False,Tablet
V004018,M0053,2025-08-12,77,False,TV
V004310,M0040,2025-09-18,122,True,TV
V000533,M0009,2024-08-14,82,False,TV
V004218,M0011,2025-08-24,86,False,Web
V002325,M0045,2025-10-29,90,False,TV
V001334,M0043,2024-08-03,87,False,TV
V002511,M0033,2025-02-03,77,False,Tablet
V001927,M0027,2025-01-18,95,False,Web
V003779,M0016,2025-07-01,74,False,Mobile
V000482,M0006,2025-08-02,40,False,Tablet
V001224,M0009,2025-09-16,62,False,TV
V002622,M0045,2025-03-31,116,False,Tablet
V001005,M0027,2025-01-25,114,True,Web
V003877,M0058,2025-10-27,29,False,Tablet
V002827,M0013,2025-09-24,41,False,TV
V001529,M0025,2024-07-09,108,False,Tablet
V002651,M0051,2024-08-27,52,False,TV
V003460,M0048,2025-01-12,86,True,Web
V002741,M0032,2025-07-02,67,False,Web
V004201,M0016,2024-07-11,88,True,Web
V001479,M0047,2024-09-29,66,False,Mobile
V002956,M0041,2024-12-14,125,False,TV
V000023,M0022,2025-08-15,113,False,Web
V001211,M0014,2024-12-25,125,False,TV
V003201,M0034,2025-05-13,32,False,Mobile
V004842,M0030,2025-02-06,71,False,Tablet
V002331,M0003,2024-12-25,39,False,Mobile
V003419,M0031,2024-08-13,140,True,Web
V002582,M0060,2025-04-16,102,False,TV
V000318,M0058,2025-04-10,38,False,TV
V002174,M0026,2025-11-26,63,False,Mobile
V003681,M0015,2025-03-31,88,False,Tablet
V000624,M0004,2025-02-23,34,False,Tablet
V004111,M0002,2025-01-21,136,True,Mobile
V004753,M0032,2025-04-26,110,False,TV
V000950,M0050,2025-04-04,107,True,Tablet
V002692,M0036,2025-06-02,93,False,Web
V003519,M0001,2025-09-10,74,False,Web
V000170,M0031,2025-08-21,73,False,TV
V002395,M0011,2025-03-12,80,False,Tablet
V001343,M0014,2024-11-25,73,False,TV
V004443,M0020,2025-09-21,30,False,Web
V000995,M0056,2025-11-27,147,True,Mobile
V002213,M0050,2025-05-31,54,False,Tablet
V000995,M0022,2024-07-06,139,False,Tablet
V001001,M0033,2024-07-26,78,False,TV
V000683,M0051,2024-12-01,93,False,TV
V003178,M0012,2025-05-21,89,False,TV
V000150,M0047,2025-09-03,148,True,Web
V002803,M0010,2025-06-19,58,False,Web
V002879,M0031,2025-10-31,91,False,Tablet
V003543,M0051,2025-08-16,94,False,Tablet
V001373,M0014,2025-05-20,120,False,Tablet
V004804,M0050,2025-09-23,110,True,Web
V004050,M0054,2024-08-19,71,False,TV
V000344,M0013,2025-10-24,62,False,Mobile
V002912,M0037,2025-11-13,146,True,TV
V002775,M0042,2024-10-01,134,False,Mobile
V003797,M0021,2025-09-04,49,False,Mobile
V004265,M0039,2025-08-03,71,False,Tablet
V004535,M0032,2024-12-17,74,False,Mobile
V002598,M0051,2025-03-24,64,False,Tablet
V000319,M0019,2025-08-13,40,False,TV
V001122,M0043,2025-03-11,88,False,Web
V002785,M0018,2024-10-05,84,True,TV
V004082,M0005,2025-01-19,82,False,Tablet
V000215,M0002,2025-02-12,130,True,Mobile
V001126,M0056,2024-06-11,117,False,Mobile
V000929,M0024,2025-08-25,98,True,TV
V001014,M0021,2025-05-27,75,False,Mobile
V000403,M0015,2025-02-20,81,False,Mobile
V004497,M0052,2025-01-30,111,True,TV
V003307,M0007,2025-10-20,54,False,Tablet
V002731,M0006,2025-02-28,73,False,Web
V000773,M0005,2025-11-26,46,False,Tablet
V003844,M0003,2024-11-26,58,False,Mobile
V001301,M0017,2025-03-22,70,False,Web
V004662,M0012,2025-08-16,95,False,Mobile
V001790,M0031,2025-07-24,76,False,Web
V000044,M0027,2024-06-13,110,True,Web
V004486,M0032,2025-04-01,68,False,Web
V003183,M0040,2025-05-17,122,True,TV
V001116,M0023,2024-10-12,151,True,Tablet
V004738,M0059,2025-02-09,65,False,Mobile
V003443,M0046,2025-03-14,93,False,Tablet
V002073,M0048,2025-07-22,66,False,Mobile
V002039,M0043,2025-07-18,82,False,Web
V000382,M0016,2025-09-18,73,False,Web
V002266,M0014,2025-08-07,115,False,Web
V000908,M0046,2025-11-16,77,False,TV
V003663,M0014,2025-07-06,77,False,Mobile
V003021,M0056,2025-01-02,149,True,Tablet
V004251,M0043,2025-02-22,66,False,Web
V001196,M0055,2025-05-03,53,False,Web
V001989,M0056,2024-07-17,107,False,TV
V000401,M0028,2025-03-17,22,False,Tablet
V000504,M0011,2025-09-30,103,False,TV
V003387,M0014,2025-08-09,143,True,Web
V002289,M0019,2025-06-02,60,False,Mobile
V004339,M0031,2025-09-25,112,False,TV
V001838,M0020,2024-08-27,67,False,TV
V003907,M0054,2024-10-27,63,False,Tablet
V003590,M0015,2025-07-17,58,False,Web
V003981,M0042,2024-11-02,85,False,Web
V002193,M0008,2024-11-16,107,False,Mobile
V004232,M0018,2025-01-17,41,False,Mobile
V004647,M0005,2025-08-13,54,False,TV
V002002,M0017,2025-05-27,117,False,Mobile
V000161,M0010,2024-12-30,69,False,Tablet
V002796,M0037,2025-11-29,103,False,Web
V002510,M0007,2024-09-21,51,False,TV
V001635,M0038,2024-10-15,117,False,TV
V003113,M0007,2024-08-04,71,False,Web
V000376,M0021,2024-12-21,62,False,Web
V002732,M0035,2024-07-14,72,False,Mobile
V000625,M0045,2025-08-17,104,False,Web
V003365,M0015,2025-10-17,73,False,Tablet
V000595,M0035,2025-08-17,107,False,Tablet
V001112,M0046,2025-04-18,99,False,Web
V000794,M0024,2025-10-24,56,False,Tablet
V002298,M0008,2024-08-27,139,True,Mobile
V001940,M0022,2025-08-01,76,False,TV
V004902,M0051,2025-03-29,47,False,TV
V001369,M0035,2025-11-24,137,True,Tablet
V001773,M0053,2024-10-05,125,True,Mobile
V004127,M0006,2025-04-10,83,False,TV
V003499,M0001,2024-12-08,104,False,Web
V000799,M0002,2025-11-09,135,True,Web
V001286,M0012,2025-04-05,103,False,Web
V001713,M0013,2025-05-12,45,False,Tablet
V003683,M0004,2025-04-13,36,False,Mobile
V001673,M0008,2024-11-20,116,False,TV
V003538,M0054,2025-06-26,51,False,Web
V003098,M0031,2025-11-23,77,False,Mobile
V001435,M0035,2024-09-26,63,False,Web
V000600,M0014,2025-06-26,101,False,Tablet
V001362,M0015,2025-03-03,113,False,TV
V003712,M0057,2025-06-22,80,False,Web
V003481,M0029,2025-06-07,82,False,Tablet
V002587,M0018,2025-03-09,37,False,Mobile
V003325,M0013,2025-02-01,58,False,Tablet
V000746,M0060,2025-08-04,132,False,Web
V000441,M0058,2025-04-09,40,False,Mobile
V003927,M0036,2024-10-22,119,True,Web
V004244,M0004,2025-05-30,34,False,Web
V001036,M0052,2025-03-29,111,True,Mobile
V004416,M0016,2025-09-06,55,False,Mobile
V002140,M0017,2024-12-25,110,False,Web
V003504,M0003,2024-07-16,78,False,Web
V001807,M0009,2025-08-31,77,False,Tablet
V003459,M0005,2025-09-09,82,False,TV
V001349,M0030,2025-02-21,97,True,TV
V000272,M0002,2025-11-19,137,True,Mobile
V000249,M0056,2025-09-06,92,False,Mobile
V001560,M0006,2024-07-26,147,True,Mobile
V004416,M0029,2024-11-15,48,False,Mobile
V001227,M0047,2024-12-04,89,False,Mobile
V004129,M0051,2025-02-07,91,False,TV
V000697,M0011,2025-07-02,93,False,Tablet
V004024,M0019,2024-06-14,85,True,Mobile
V001440,M0010,2025-02-08,57,False,Mobile
V003109,M0021,2024-08-07,44,False,Tablet
V000216,M0030,2025-10-16,75,False,Mobile
V002141,M0043,2025-03-24,63,False,TV
V002962,M0006,2024-06-20,88,False,Web
V003095,M0026,2025-07-28,48,False,Web
V002208,M0052,2024-06-25,65,False,TV
V000402,M0024,2024-11-21,59,False,Web
V004726,M0051,2024-11-11,89,False,Mobile
V003849,M0041,2025-10-07,92,False,Web
V004933,M0027,2024-08-16,92,False,Mobile
V004308,M0050,2025-05-25,55,False,Mobile
V000385,M0018,2025-07-28,45,False,TV
V004331,M0054,2025-07-26,59,False,Mobile
V002119,M0017,2025-06-02,110,False,Tablet
V002040,M0032,2024-06-20,80,False,Web
V000526,M0034,2024-10-17,49,False,Web
V000537,M0044,2025-07-09,120,False,TV
V001400,M0047,2024-06-14,112,False,TV
V002438,M0027,2025-06-21,51,False,Tablet
V001070,M0049,2024-11-18,80,False,Tablet
V000853,M0014,2025-01-17,150,True,TV
V003785,M0006,2025-10-20,78,False,TV
V003194,M0041,2025-06-23,88,False,TV
V002381,M0049,2025-10-18,50,False,Web
V003024,M0047,2024-12-17,109,False,Web
V001571,M0019,2025-11-07,72,False,Tablet
V002521,M0025,2024-10-05,138,False,TV
V004717,M0033,2024-07-01,92,True,Mobile
V001851,M0050,2025-08-11,71,False,Web
V002257,M0054,2024-12-26,92,False,Web
V004998,M0030,2025-09-28,79,False,TV
V002374,M0003,2025-10-03,85,False,TV
V001677,M0016,2025-04-23,48,False,TV
V004311,M0013,2025-03-12,70,False,Mobile
V001818,M0026,2025-07-09,77,False,Mobile
V004915,M0007,2024-08-22,66,False,Mobile
V000396,M0035,2025-05-11,74,False,Mobile
V001622,M0041,2024-07-14,77,False,Tablet
V002647,M0042,2025-04-13,35,False,Tablet
V000285,M0055,2025-09-13,80,True,Tablet
V002683,M0049,2024-10-28,45,False,Tablet
V004527,M0050,2024-06-11,105,True,Mobile
V001515,M0059,2025-05-01,102,True,Mobile
V000875,M0038,2024-12-23,126,False,Mobile
V001048,M0036,2024-06-12,120,True,Web
V003091,M0045,2024-12-24,96,False,Tablet
V002324,M0017,2025-07-31,146,True,Tablet
V000026,M0059,2025-04-26,73,False,TV
V000475,M0009,2025-09-13,64,False,Mobile
V001010,M0052,2024-06-10,93,False,TV
V004418,M0007,2025-02-04,50,False,Tablet
V003911,M0034,2024-12-14,78,True,Web
V003337,M0049,2025-05-15,49,False,Web
V004970,M0014,2024-07-01,77,False,Web
V002253,M0029,2024-12-22,65,False,Mobile
V002091,M0006,2025-10-24,70,False,TV
V004258,M0009,2024-10-09,103,True,Mobile
V003006,M0054,2025-11-09,54,False,TV
V004034,M0016,2024-10-22,60,False,Mobile
V000787,M0034,2025-08-03,41,False,Tablet
V000148,M0050,2025-10-18,108,True,Mobile
V001665,M0034,2024-11-26,55,False,Mobile
V000224,M0053,2024-10-31,68,False,Tablet
V002625,M0005,2025-04-27,46,False,Web
V001791,M0050,2025-03-15,105,True,TV
V003521,M0004,2024-06-27,61,False,Tablet
V000892,M0037,2024-07-21,115,False,Tablet
V004599,M0028,2025-07-07,46,False,TV
V000331,M0019,2025-08-04,50,False,Mobile
V004324,M0051,2024-08-29,92,False,TV
V001945,M0020,2024-07-30,116,True,Web
V000378,M0027,2025-04-27,66,False,TV
V001017,M0040,2025-10-07,65,False,TV
V000148,M0029,2025-10-13,76,False,Mobile
V002371,M0052,2025-02-11,88,False,Mobile
V003712,M0046,2025-03-14,89,False,Web
V004898,M0026,2024-09-26,75,False,Tablet
V002429,M0056,2024-08-20,71,False,TV
V004385,M0010,2024-11-21,61,False,Web
V002707,M0010,2025-08-17,47,False,TV
V001593,M0037,2025-06-04,137,True,Mobile
V001828,M0012,2025-02-02,106,False,Tablet
V004620,M0026,2025-10-05,57,False,Mobile
V003875,M0036,2025-06-25,82,False,Mobile
V003422,M0030,2025-10-30,77,False,Web
V001769,M0048,2025-01-18,65,False,Web
V004971,M0034,2025-04-19,28,False,TV
V001999,M0042,2024-06-16,78,False,Mobile
V002333,M0054,2025-11-27,59,False,Tablet
V000966,M0057,2025-07-08,85,False,Tablet
V000246,M0022,2025-07-03,105,False,TV
V001202,M0035,2024-09-12,106,False,Mobile
V004511,M0051,2024-11-04,80,False,TV
V000597,M0027,2025-04-23,51,False,Tablet
V003490,M0052,2025-08-22,95,False,Web
V001559,M0050,2025-01-13,84,False,Mobile
V001574,M0017,2025-03-02,97,False,Web
V004814,M0016,2025-01-16,82,True,TV
V000333,M0041,2025-10-31,127,True,Web
V001833,M0031,2025-11-29,62,False,Tablet
V003201,M0039,2024-10-28,43,False,Mobile
V003172,M0008,2024-07-03,79,False,Mobile
V001584,M0043,2024-12-23,88,True,Mobile
V000543,M0004,2024-11-11,60,False,TV
V002401,M0006,2025-09-17,80,False,TV
V003713,M0004,2024-10-09,72,False,Web
V004772,M0056,2024-09-03,120,False,Web
V003018,M0004,2025-04-19,37,False,TV
V004058,M0002,2024-09-05,131,True,TV
V001330,M0026,2025-10-02,72,False,Tablet
V001145,M0057,2024-10-14,135,False,Tablet
V001066,M0043,2025-07-13,61,False,Mobile
V004032,M0048,2024-08-02,84,True,Mobile
V004632,M0011,2025-09-23,105,False,TV
V003255,M0002,2024-06-12,135,True,TV
V001600,M0005,2025-05-11,52,False,Web
V001087,M0006,2025-01-13,52,False,Web
V002825,M0013,2024-10-16,44,False,Mobile
V000088,M0030,2025-05-05,89,True,Web
V000833,M0044,2025-09-11,112,False,Mobile
V000923,M0025,2025-04-20,134,False,Web
V004205,M0053,2025-01-09,66,False,Tablet
V004698,M0035,2024-12-12,84,False,Web
V003666,M0014,2025-09-15,144,True,TV
V002168,M0020,2025-10-11,60,False,Web
V004742,M0056,2025-01-04,68,False,Tablet
V004181,M0019,2025-10-17,88,True,Mobile
V002257,M0028,2025-02-12,61,False,Web
V001679,M0029,2025-03-19,96,True,Tablet
V004377,M0031,2025-08-12,141,True,Tablet
V004094,M0048,2024-06-23,45,False,Web
V000115,M0005,2025-06-18,76,False,Tablet
V004826,M0058,2025-05-28,20,False,Web
V004256,M0017,2024-09-27,78,False,TV
V004025,M0048,2024-09-08,49,False,Tablet
V001898,M0056,2025-03-27,141,True,Web
V002609,M0035,2024-10-08,57,False,Web
V003684,M0037,2025-11-07,104,False,Tablet
V000975,M0026,2024-08-23,61,False,Mobile
V004068,M0026,2025-04-03,82,True,Web
V000127,M0056,2024-11-22,131,False,Tablet
V001177,M0035,2025-09-05,105,False,Web
V001835,M0012,2024-12-08,74,False,Web
V003223,M0006,2024-11-21,65,False,TV
V003665,M0035,2025-08-15,108,False,Tablet
V001232,M0037,2025-09-17,106,False,Web
V004675,M0005,2025-07-11,59,False,Tablet
V004868,M0030,2025-10-21,72,False,TV
V003523,M0016,2025-02-08,78,False,Mobile
V001040,M0011,2025-10-23,111,True,Mobile
V001883,M0039,2024-09-13,92,True,TV
V002391,M0033,2025-07-20,57,False,TV
V004995,M0055,2024-06-24,61,False,Mobile
V000689,M0042,2025-02-13,53,False,Tablet
V000294,M0052,2024-09-05,55,False,Web
V004457,M0016,2024-10-15,61,False,Tablet
V004418,M0013,2025-05-23,40,False,Tablet
V003117,M0018,2025-09-12,48,False,Mobile
V003780,M0047,2024-07-12,115,False,Tablet
V004440,M0025,2025-06-30,144,True,Tablet
V004074,M0033,2025-06-26,87,True,Web
V004229,M0021,2025-05-14,70,False,Mobile
V004360,M0051,2025-01-09,86,False,Mobile
V001526,M0026,2025-04-01,55,False,TV
V000245,M0057,2024-11-26,134,False,Tablet
V002719,M0025,2024-08-20,118,False,Mobile
V001023,M0044,2025-06-12,85,False,Web
V002807,M0050,2024-11-12,64,False,Web
V004290,M0060,2024-10-24,103,False,Tablet
V001150,M0013,2024-12-04,82,True,TV
V002021,M0012,2025-07-17,99,False,TV
V003207,M0051,2025-04-17,98,True,Web
V004691,M0035,2025-08-17,81,False,Web
V000653,M0017,2024-12-30,79,False,TV
V003960,M0047,2025-06-01,141,True,TV
V001374,M0025,2025-06-08,103,False,Web
V001821,M0056,2024-12-14,110,False,TV
V001832,M0007,2024-07-02,44,False,Tablet
V002997,M0024,2025-11-04,96,True,Tablet
V002154,M0034,2024-10-31,83,True,TV
V004997,M0002,2025-01-06,136,True,TV
V002144,M0053,2025-04-15,56,False,TV
V000983,M0041,2024-06-24,127,True,Mobile
V000928,M0060,2024-07-26,115,False,Web
V001632,M0004,2024-06-14,75,True,TV
V001934,M0038,2025-02-28,73,False,Mobile
V002984,M0054,2025-04-29,39,False,Mobile
V002406,M0021,2024-08-23,48,False,TV
V000879,M0013,2025-04-23,77,False,TV
V001757,M0040,2024-09-27,94,False,Mobile
V003492,M0016,2024-08-29,82,True,Mobile
V002178,M0002,2025-06-30,135,True,Mobile
V000714,M0019,2025-10-25,78,False,Web
V003137,M0030,2025-07-29,80,False,Tablet
V000493,M0036,2025-07-19,108,False,Mobile
V002958,M0018,2025-07-21,25,False,TV
V001334,M0026,2025-07-13,84,True,Tablet
V000479,M0027,2025-01-02,109,True,Tablet
V003685,M0051,2024-09-04,62,False,Web
V004037,M0009,2024-12-20,76,False,TV
V002782,M0035,2024-09-24,129,True,TV
V002360,M0051,2025-06-01,75,False,TV
V000973,M0040,2025-09-07,121,False,Tablet
V000209,M0022,2025-07-14,155,True,Mobile
V000323,M0057,2025-10-18,42,False,TV
V001881,M0024,2025-04-07,46,False,Web
V000949,M0009,2025-01-01,99,True,Mobile
V000046,M0014,2025-01-03,95,False,Mobile
V001672,M0034,2024-09-21,64,False,Web
V000823,M0044,2025-02-13,87,False,Tablet
V004805,M0025,2024-07-16,79,False,Web
V003679,M0028,2024-09-05,89,False,TV
V003386,M0042,2025-06-30,76,False,Web
V004222,M0024,2025-06-12,95,True,TV
V000571,M0014,2024-06-10,84,False,Web
V004452,M0046,2025-08-14,99,False,Web
V000516,M0054,2025-07-24,31,False,Web
V000059,M0057,2025-01-22,69,False,Mobile
V000067,M0025,2025-08-30,113,False,Tablet
V004011,M0017,2025-06-20,80,False,Tablet
V000199,M0023,2025-06-14,75,False,Tablet
V000714,M0034,2024-08-21,45,False,Web
V002868,M0058,2024-07-27,58,False,TV
V002976,M0048,2025-03-03,61,False,Tablet
V004680,M0010,2025-10-28,49,False,Mobile
V003716,M0033,2024-11-04,91,True,Web
V000838,M0047,2024-10-25,67,False,Web
V003601,M0046,2025-07-30,93,False,Web
V003746,M0005,2025-04-24,51,False,Web
V004625,M0060,2025-05-24,146,True,Mobile
V001490,M0021,2025-06-07,50,False,Web
V003375,M0048,2025-06-08,86,True,Tablet
V002679,M0052,2025-09-14,93,False,Web
