viewer_id,movie_id,rating,review_date,sentiment_score
V002806,M0071,4,2024-12-03,0.585
V002946,M0016,3,2025-11-14,-0.144
V004184,M0014,4,2025-04-26,0.35
V003981,M0031,5,2025-07-09,0.863
V002515,M0083,5,2025-01-27,0.637
V001111,M0063,5,2025-07-09,0.347
V004152,M0064,5,2024-11-30,0.833
V004312,M0024,2,2025-03-28,-0.361
V001024,M0029,3,2025-05-26,0.141
V002914,M0014,4,2024-10-28,0.418
V003179,M0058,3,2025-07-08,-0.256
V003273,M0023,5,2024-11-10,0.806
V003517,M0055,3,2024-08-28,0.249
V003757,M0057,4,2024-08-07,0.118
V004774,M0087,1,2024-12-28,-0.577
V003002,M0057,2,2025-07-13,-0.589
V004500,M0072,5,2025-11-22,0.377
V002589,M0072,4,2025-11-11,0.225
V002583,M0086,4,2024-12-17,0.387
V003997,M0026,2,2025-02-23,-0.138
V000793,M0017,1,2024-12-19,-0.603
V001279,M0018,3,2024-09-17,0.175
V002455,M0029,3,2024-10-16,-0.003
V003618,M0070,4,2024-12-30,0.544
V004676,M0014,5,2025-02-03,0.589
V004721,M0084,2,2025-05-15,-0.398
V003723,M0050,1,2025-02-02,-0.7
V001571,M0049,4,2025-06-13,0.029
V001145,M0055,3,2024-12-21,-0.293
V001262,M0018,1,2025-06-04,-0.685
V001729,M0086,4,2024-11-21,0.007
V002958,M0022,2,2025-03-11,-0.497
V001742,M0004,3,2025-08-09,0.068
V004617,M0092,5,2025-04-08,0.663
V002949,M0015,3,2024-07-10,0.105
V000466,M0070,3,2024-11-19,0.081
V000456,M0089,4,2025-04-17,0.3
V001176,M0066,5,2025-11-05,0.745
V001593,M0028,4,2024-10-14,0.429
V001876,M0016,2,2025-02-21,-0.435
V004025,M0020,3,2025-05-15,0.265
V000588,M0015,2,2025-04-20,-0.05
V003880,M0073,4,2025-06-16,0.46
V003351,M0007,3,2025-10-09,0.266
V002373,M0091,1,2025-05-09,-0.754
V003143,M0080,1,2024-10-10,-0.304
V002589,M0098,2,2025-11-18,-0.415
V002325,M0043,3,2024-07-10,-0.284
V002740,M0030,5,2025-11-10,0.399
V001273,M0098,3,2024-11-01,-0.018
V003037,M0016,1,2025-09-26,-0.875
V004340,M0084,3,2025-11-06,0.286
V003655,M0078,4,2025-11-12,0.39
V002192,M0044,3,2025-01-20,0.229
V001461,M0056,5,2024-12-17,0.776
V004224,M0094,4,2025-09-06,0.046
V004526,M0093,3,2024-12-08,-0.286
V002151,M0039,5,2025-05-27,0.8
V000731,M0013,4,2025-01-02,0.476
V003385,M0030,1,2024-09-14,-0.692
V004467,M0086,5,2025-01-31,0.719
V001894,M0055,3,2025-06-17,-0.087
V004088,M0063,5,2024-12-09,0.575
V004544,M0015,4,2025-11-25,0.544
V001056,M0070,4,2025-11-23,0.558
V004048,M0012,4,2024-10-15,0.037
V002618,M0011,5,2025-08-09,0.755
V003022,M0063,3,2025-05-20,-0.094
V000077,M0065,1,2024-07-04,-0.779
V000478,M0086,3,2025-02-23,-0.075
V003395,M0008,3,2024-07-07,-0.266
V001409,M0034,5,2024-09-26,0.66
V000894,M0048,4,2025-07-27,0.009
V004055,M0048,3,2025-07-07,-0.135
V001278,M0055,5,2024-08-06,0.369
V000714,M0049,5,2024-06-29,0.662
V001729,M0036,5,2025-09-23,0.681
V003932,M0056,1,2025-02-16,-0.441
V002860,M0097,5,2025-01-24,0.44
V000816,M0025,2,2025-02-05,-0.006
V001650,M0042,3,2025-06-29,-0.183
V000128,M0037,5,2025-03-01,0.335
V001066,M0063,5,2025-08-02,0.577
V001711,M0022,2,2025-04-03,-0.359
V000345,M0057,3,2025-08-21,-0.271
V003314,M0083,4,2025-04-12,0.522
V001786,M0044,5,2025-05-23,0.711
V000803,M0042,4,2025-06-24,0.349
V003984,M0070,2,2024-11-05,-0.543
V000134,M0019,3,2024-08-09,-0.115
V004256,M0059,2,2024-11-30,-0.091
V003277,M0015,4,2025-04-28,0.012
V004692,M0099,4,2024-11-11,0.597
V003580,M0028,5,2025-11-03,0.88
V002585,M0077,1,2024-10-03,-0.696
V000874,M0035,5,2025-11-27,0.564
V000155,M0079,3,2024-08-11,0.252
V003687,M0071,1,2024-08-08,-0.597
V002084,M0041,4,2025-07-16,0.222
V004717,M0066,5,2024-07-01,0.853
V000568,M0027,4,2025-04-11,0.505
V003690,M0068,4,2024-08-15,0.339
V004539,M0023,5,2025-08-15,0.347
V002760,M0080,5,2025-09-26,0.526
V000985,M0049,4,2024-08-21,0.32
V001204,M0093,3,2024-11-19,0.288
V001548,M0088,1,2024-11-17,-0.473
V000568,M0097,3,2025-10-18,-0.135
V002486,M0073,1,2024-09-28,-0.711
V001358,M0023,3,2024-12-29,-0.024
V003949,M0070,5,2024-08-04,0.335
V002697,M0008,5,2025-11-15,0.485
V002409,M0053,4,2025-07-08,0.179
V000260,M0097,3,2024-09-24,-0.194
V003969,M0005,3,2024-12-18,-0.255
V000518,M0065,4,2025-03-05,0.147
V003168,M0019,1,2025-09-13,-0.473
V004936,M0061,4,2025-04-07,0.516
V004756,M0063,3,2024-07-17,-0.257
V003677,M0012,3,2025-01-31,-0.298
V003101,M0065,1,2024-07-28,-0.795
V000460,M0037,4,2025-07-22,0.301
V003795,M0040,5,2025-04-08,0.563
V003744,M0080,3,2024-06-15,0.159
V002263,M0043,3,2025-10-31,0.15
V002020,M0054,4,2025-05-18,0.251
V000133,M0004,1,2025-10-30,-0.798
V003181,M0022,3,2025-05-29,-0.021
V004704,M0038,2,2025-05-11,-0.18
V004168,M0004,5,2024-10-06,0.358
V003021,M0085,5,2024-12-09,0.566
V003562,M0024,5,2025-02-09,0.796
V004418,M0046,3,2024-09-11,-0.205
V004764,M0041,2,2025-10-01,-0.435
V000611,M0028,2,2024-08-09,-0.474
V003935,M0019,1,2025-10-07,-0.569
V003397,M0025,1,2025-05-08,-0.338
V004650,M0090,4,2025-03-25,0.206
V003153,M0098,4,2024-08-30,0.37
V001802,M0097,4,2024-08-23,0.348
V000780,M0003,4,2025-07-20,0.151
V002791,M0074,4,2025-09-17,0.313
V004448,M0038,5,2025-05-21,0.883
V003036,M0010,5,2024-10-23,0.812
V001188,M0099,4,2024-10-12,0.546
V000809,M0030,1,2024-09-22,-0.424
V004033,M0086,4,2025-06-03,0.248
V004019,M0018,3,2025-10-19,-0.171
V004055,M0075,4,2025-03-22,0.267
V001244,M0023,4,2025-08-26,0.335
V000803,M0036,5,2025-05-24,0.479
V000270,M0043,3,2025-11-12,0.224
V003793,M0004,5,2025-10-28,0.609
V000220,M0023,1,2025-05-24,-0.867
V003963,M0052,4,2024-11-17,0.281
V004125,M0038,1,2025-06-29,-0.502
V004822,M0097,3,2025-03-29,0.076
V000871,M0075,5,2024-11-25,0.591
V002297,M0080,4,2024-06-22,0.499
V000685,M0057,2,2024-10-17,-0.34
V003219,M0076,4,2024-11-08,0.136
V000056,M0065,4,2024-10-14,0.164
V001878,M0060,2,2025-07-04,-0.249
V002830,M0006,4,2025-01-22,0.022
V002826,M0080,3,2024-08-04,0.204
V003837,M0043,4,2024-11-19,0.594
V001094,M0005,3,2025-02-05,0.297
V002794,M0072,3,2025-01-08,0.288
V001526,M0037,3,2025-11-24,-0.054
V002852,M0040,4,2025-01-20,0.284
V003787,M0034,4,2025-11-21,0.597
V004454,M0019,5,2024-06-11,0.656
V003275,M0091,5,2025-02-06,0.46
V002290,M0061,4,2025-10-21,0.529
V002813,M0086,2,2025-09-30,-0.277
V003950,M0084,4,2025-06-30,0.548
V002347,M0036,1,2025-09-13,-0.311
V003125,M0097,4,2024-07-24,0.192
V003937,M0037,4,2025-11-18,0.326
V002948,M0018,1,2025-09-19,-0.754
V000420,M0059,3,2025-09-05,0.187
V002397,M0052,1,2025-01-20,-0.736
V004603,M0025,2,2025-03-11,-0.494
V002052,M0091,2,2025-08-10,-0.472
V003703,M0074,2,2025-06-12,-0.349
V000199,M0041,4,2025-07-13,0.192
V002599,M0031,3,2024-07-31,-0.294
V003018,M0086,5,2025-05-14,0.785
V004148,M0054,5,2024-06-21,0.788
V004940,M0047,4,2024-06-27,0.491
V002025,M0099,3,2025-11-09,0.227
V004601,M0017,5,2024-10-17,0.413
V001672,M0024,5,2024-06-27,0.729
V001042,M0047,4,2025-06-27,0.593
V000481,M0039,1,2025-05-02,-0.812
V004392,M0096,3,2025-01-18,-0.039
V001263,M0035,2,2025-02-20,-0.076
V000348,M0079,4,2025-01-01,0.121
V002577,M0050,3,2025-03-11,-0.11
V003619,M0025,1,2025-10-20,-0.706
V001396,M0064,5,2024-07-16,0.472
V003900,M0088,4,2025-01-16,0.253
V003317,M0013,1,2025-10-03,-0.792
V002471,M0010,4,2025-02-04,0.512
V004517,M0059,1,2025-11-24,-0.351
V004252,M0051,3,2025-07-16,0.167
V003766,M0099,2,2025-02-10,-0.574
V001476,M0015,4,2025-10-04,0.002
V002859,M0076,5,2025-08-24,0.834
V002210,M0012,3,2025-09-29,0.01
V001731,M0087,4,2025-09-09,0.344
V004992,M0086,2,2024-09-27,-0.551
V003533,M0020,2,2025-11-16,-0.286
V004099,M0050,4,2025-08-23,0.571
V000639,M0047,3,2025-02-12,-0.108
V002202,M0042,2,2025-09-06,-0.583
V002480,M0047,4,2025-08-27,0.349
V004939,M0040,5,2025-08-31,0.361
V000986,M0021,4,2024-08-25,0.007
V001131,M0093,2,2025-03-21,-0.577
V000493,M0072,3,2025-07-19,-0.126
V001906,M0033,5,2024-06-14,0.791
V004026,M0013,1,2024-09-09,-0.524
V000719,M0037,5,2025-04-07,0.562
V001723,M0037,4,2025-01-05,0.104
V001182,M0050,2,2025-08-26,-0.473
V003794,M0063,4,2024-07-14,0.418
V003653,M0001,5,2025-11-08,0.649
V004457,M0081,2,2024-07-14,-0.368
V001758,M0060,2,2025-07-31,-0.151
V004383,M0064,1,2025-06-10,-0.561
V004209,M0024,2,2025-06-01,-0.36
V001444,M0066,3,2024-10-11,0.03
V000364,M0083,2,2025-11-06,-0.465
V001523,M0075,2,2025-05-07,-0.252
V002648,M0005,4,2024-06-26,0.57
V003333,M0087,4,2024-11-01,0.075
V003743,M0054,2,2025-07-11,-0.258
V002529,M0049,3,2025-06-12,0.173
V002812,M0093,2,2024-09-14,-0.137
V000111,M0048,5,2025-02-25,0.35
V004156,M0065,1,2025-09-04,-0.583
V004802,M0096,4,2025-08-08,0.372
V001990,M0020,1,2024-11-11,-0.657
V000230,M0083,1,2025-04-08,-0.438
V001718,M0028,2,2024-11-20,-0.182
V004145,M0030,5,2024-11-07,0.555
V001095,M0058,2,2025-08-04,-0.231
V004641,M0089,3,2024-10-30,-0.223
V001644,M0013,3,2025-05-18,0.102
V000604,M0030,3,2024-07-06,0.163
V001968,M0061,5,2025-07-15,0.731
V000449,M0047,2,2025-04-04,-0.437
V001287,M0042,4,2025-09-12,0.42
V004779,M0033,4,2025-03-16,0.199
V003813,M0052,1,2025-11-12,-0.745
V001271,M0038,4,2025-08-01,0.44
V003039,M0003,5,2025-07-05,0.687
V003473,M0002,4,2025-07-03,0.589
V003474,M0071,2,2025-04-01,-0.536
V002536,M0059,2,2024-08-22,-0.577
V003408,M0066,1,2025-07-02,-0.447
V001102,M0044,4,2025-10-26,0.487
V003733,M0045,2,2024-09-28,-0.133
V003726,M0098,3,2024-09-08,-0.251
V003380,M0002,4,2024-09-10,0.295
V000769,M0040,5,2025-11-16,0.38
V002126,M0058,4,2025-08-22,0.539
V000036,M0032,4,2025-03-13,0.296
V002256,M0097,4,2025-01-28,0.211
V000178,M0085,4,2024-12-21,0.392
V003998,M0041,5,2025-05-09,0.463
V001736,M0052,3,2025-01-21,-0.142
V002867,M0071,4,2025-07-16,0.021
V000145,M0087,4,2025-05-06,0.136
V004552,M0023,2,2024-08-16,-0.559
V001241,M0046,4,2025-11-20,0.534
V000098,M0076,5,2025-08-31,0.759
V003152,M0082,5,2025-05-07,0.497
V001714,M0002,5,2025-05-24,0.805
V000130,M0053,4,2025-11-27,0.534
V004279,M0015,4,2024-11-17,0.256
V001682,M0071,4,2025-07-09,0.279
V001402,M0080,4,2025-03-26,0.285
V003745,M0064,2,2024-10-19,-0.025
V004823,M0021,5,2025-08-21,0.31
V003031,M0007,1,2024-10-21,-0.842
V004442,M0034,5,2025-10-26,0.384
V002521,M0010,2,2025-06-30,-0.068
V000560,M0043,4,2025-11-16,0.311
V001002,M0045,2,2025-10-03,-0.492
V002366,M0015,4,2025-06-09,0.076
V003488,M0068,5,2025-05-06,0.69
V003428,M0054,4,2025-10-07,0.143
V003579,M0015,5,2025-03-25,0.633
V003586,M0004,2,2024-09-02,-0.6
V003771,M0091,4,2024-10-05,0.5
V003517,M0042,4,2025-08-12,0.079
V004515,M0040,1,2025-04-06,-0.662
V000577,M0099,1,2025-11-26,-0.522
V004854,M0094,3,2025-06-15,-0.198
V000412,M0093,4,2025-08-04,0.5
V000901,M0057,1,2024-11-13,-0.889
V001285,M0036,1,2024-10-26,-0.316
V001820,M0009,5,2025-05-14,0.723
V004533,M0099,4,2025-09-05,0.023
V004849,M0014,1,2025-06-19,-0.633
V001319,M0012,2,2024-11-16,-0.589
V002490,M0087,3,2025-08-12,-0.193
V002676,M0030,3,2025-11-02,-0.2
V003436,M0004,2,2025-04-28,-0.526
V004647,M0023,5,2024-06-25,0.59
V001769,M0028,4,2024-11-05,0.147
V002712,M0095,4,2024-11-16,0.104
V000451,M0088,5,2025-07-06,0.586
V002567,M0048,4,2025-06-05,0.096
V003576,M0053,3,2025-11-21,0.219
V000681,M0058,3,2025-10-03,0.033
V004106,M0008,1,2024-07-08,-0.422
V004470,M0064,2,2025-02-18,-0.583
V001510,M0004,3,2025-08-02,-0.27
V001043,M0064,2,2024-08-27,-0.249
V002876,M0082,4,2024-06-10,0.384
V002512,M0059,4,2025-01-22,0.134
V003712,M0007,4,2025-08-25,0.005
V004623,M0045,4,2025-04-08,0.157
V000419,M0071,2,2024-07-03,-0.084
V004576,M0074,5,2024-12-27,0.564
V001790,M0027,1,2025-11-30,-0.33
V002589,M0020,2,2025-07-17,-0.038
V002573,M0035,2,2025-09-24,-0.498
V004175,M0067,4,2024-08-16,0.357
V003627,M0046,3,2024-11-24,0.186
V004157,M0098,5,2024-06-20,0.522
V004310,M0078,5,2025-09-02,0.891
V001440,M0010,5,2025-09-09,0.764
V004627,M0032,3,2024-08-26,0.279
V002946,M0042,1,2025-10-04,-0.564
V004457,M0087,1,2024-10-07,-0.513
V000176,M0094,4,2024-10-24,0.571
V002022,M0045,3,2025-03-12,0.125
V004176,M0034,3,2025-07-07,0.245
V000872,M0062,5,2025-05-20,0.399
V001449,M0083,4,2025-09-24,0.187
V000805,M0008,4,2025-05-02,0.143
V000998,M0029,3,2025-11-03,-0.069
V003791,M0052,1,2024-07-27,-0.322
V000153,M0090,4,2025-07-12,0.434
V004341,M0006,4,2024-11-13,0.201
V001581,M0034,3,2024-12-08,0.239
V000613,M0053,4,2024-08-05,0.396
V001235,M0049,4,2025-06-19,0.364
V004541,M0082,3,2025-03-07,-0.009
V000510,M0095,5,2025-08-30,0.697
V002807,M0099,3,2024-06-09,0.281
V003179,M0089,2,2025-10-07,-0.391
V003522,M0001,4,2024-08-25,0.157
V003141,M0073,3,2025-10-28,-0.245
V000129,M0025,5,2024-07-10,0.718
V002228,M0097,3,2025-06-25,0.171
V004352,M0037,3,2025-02-23,0.124
V002465,M0002,2,2025-09-04,-0.339
V004112,M0040,4,2025-01-19,0.07
V003393,M0097,4,2025-04-16,0.137
V002079,M0096,4,2024-11-09,0.166
V001203,M0014,3,2025-09-06,0.112
V001373,M0060,2,2024-08-07,-0.093
V002750,M0047,3,2024-06-15,-0.256
V000906,M0065,5,2025-08-05,0.657
V002864,M0064,4,2024-06-20,0.526
V000508,M0068,4,2024-07-27,0.583
V003660,M0034,3,2024-08-18,0.019
V004237,M0043,1,2025-11-02,-0.596
V000022,M0026,3,2025-02-07,0.233
V000941,M0038,5,2025-10-12,0.707
V002439,M0076,4,2024-07-10,0.203
V002228,M0036,3,2025-08-17,-0.068
V003472,M0016,2,2025-11-30,-0.089
V002570,M0004,2,2024-06-27,-0.398
V000671,M0017,3,2024-12-18,-0.275
V003749,M0024,1,2024-09-16,-0.555
V004686,M0078,4,2025-11-04,0.013
V004300,M0009,3,2024-07-16,-0.075
V004175,M0071,4,2024-08-04,0.035
V001725,M0061,2,2025-10-03,-0.17
V002687,M0064,3,2025-05-21,0.281
V002827,M0012,1,2025-08-31,-0.534
V001430,M0037,4,2024-12-14,0.483
V001324,M0015,2,2025-10-15,-0.031
V002332,M0082,5,2025-02-13,0.303
V003014,M0031,1,2024-08-12,-0.446
V003578,M0031,4,2024-12-22,0.503
V004148,M0045,4,2024-07-16,0.448
V003969,M0044,4,2025-09-02,0.024
V002898,M0034,3,2024-10-27,-0.279
V000637,M0060,2,2024-12-03,-0.285
V004615,M0091,3,2025-07-10,0.255
V003297,M0079,3,2025-04-12,0.188
V001786,M0094,3,2025-06-17,-0.152
V003138,M0024,4,2024-08-14,0.409
V000092,M0039,4,2025-03-10,0.026
V004530,M0049,1,2024-09-04,-0.619
V000437,M0052,5,2025-03-16,0.721
V000314,M0078,4,2024-06-17,0.258
V004288,M0035,2,2025-09-27,-0.437
V000935,M0063,4,2025-07-04,0.288
V002443,M0047,4,2025-08-21,0.489
V001726,M0003,1,2024-08-10,-0.434
V002301,M0017,2,2025-06-24,-0.43
V001474,M0053,3,2024-06-20,-0.18
V003473,M0046,2,2025-11-22,-0.045
V002792,M0019,3,2025-10-23,0.004
V003396,M0058,4,2024-08-20,0.439
V004483,M0080,3,2025-10-25,0.241
V004293,M0078,1,2025-08-29,-0.871
V000372,M0085,5,2024-09-21,0.698
V004455,M0040,5,2025-11-10,0.713
V004376,M0010,1,2025-10-27,-0.559
V003921,M0058,5,2025-07-05,0.455
V003428,M0049,4,2024-07-08,0.522
V000549,M0087,5,2025-03-01,0.465
V003708,M0089,1,2025-08-10,-0.705
V001378,M0020,3,2025-08-18,-0.236
V004111,M0073,4,2025-04-05,0.144
V002913,M0062,5,2025-05-19,0.507
V003456,M0033,4,2024-12-06,0.226
V004365,M0027,1,2025-10-11,-0.568
V002273,M0046,3,2025-01-12,0.099
V004202,M0060,5,2025-03-30,0.481
V002941,M0029,1,2025-04-12,-0.345
V001655,M0010,2,2025-01-17,-0.199
V000351,M0065,5,2024-11-24,0.757
V004933,M0021,4,2024-08-05,0.438
V002277,M0091,3,2024-09-15,-0.024
V000247,M0053,1,2024-06-30,-0.552
V002284,M0088,4,2025-11-09,0.516
V000784,M0088,3,2025-11-19,0.102
V004572,M0018,5,2025-02-18,0.468
V000493,M0024,5,2024-10-02,0.563
V003943,M0086,2,2025-10-27,-0.123
V002707,M0024,4,2024-12-29,0.044
V000093,M0070,1,2025-06-22,-0.695
V003753,M0084,4,2025-05-21,0.092
V004967,M0082,5,2024-07-14,0.837
V001152,M0036,5,2025-11-27,0.433
V001351,M0078,5,2025-10-02,0.489
V004227,M0028,3,2025-11-17,-0.063
V003843,M0030,2,2025-11-18,-0.465
V003887,M0047,5,2024-06-16,0.368
V001548,M0093,3,2025-10-27,-0.087
V004935,M0032,5,2024-11-23,0.49
V003864,M0079,5,2024-07-10,0.498
V004210,M0098,3,2025-11-28,-0.075
V000253,M0067,3,2025-09-09,-0.124
V000883,M0061,4,2024-11-21,0.252
V002818,M0034,2,2025-02-10,-0.175
V003736,M0096,4,2025-05-11,0.553
V001325,M0088,4,2025-09-01,0.106
V004620,M0045,3,2025-11-01,0.249
V003062,M0047,1,2024-10-01,-0.674
V004903,M0050,2,2025-10-13,-0.214
V001670,M0013,4,2025-01-06,0.253
V003570,M0003,2,2025-10-08,-0.051
V002445,M0037,4,2024-09-04,0.481
V002539,M0098,4,2024-10-01,0.215
V000127,M0010,2,2025-11-18,-0.514
V001125,M0053,5,2025-03-17,0.78
V004585,M0016,2,2025-06-04,-0.564
V003724,M0043,1,2024-07-04,-0.75
V000788,M0029,4,2025-04-19,0.413
V000597,M0074,4,2024-07-23,0.418
V002723,M0057,4,2025-04-29,0.356
V002967,M0013,1,2024-12-20,-0.842
V004490,M0057,2,2025-11-11,-0.315
V001198,M0005,4,2025-08-09,0.583
V003608,M0017,2,2025-01-19,-0.117
V003459,M0031,5,2024-12-02,0.843
V004109,M0094,3,2024-08-09,-0.007
V002109,M0061,5,2024-08-23,0.818
V004463,M0034,3,2025-07-01,0.069
V000229,M0090,4,2024-11-01,0.133
V000946,M0059,3,2025-04-07,-0.052
V004425,M0045,3,2025-11-08,0.218
V002594,M0062,5,2025-06-10,0.42
V001690,M0089,4,2024-12-24,0.39
V000878,M0089,2,2025-11-12,-0.486
V001406,M0089,5,2025-11-22,0.823
V001000,M0079,4,2025-11-12,0.149
V003040,M0001,4,2025-04-25,0.375
V004767,M0066,4,2024-07-27,0.138
V000549,M0002,4,2025-03-05,0.369
V003229,M0038,4,2025-11-27,0.305
V004820,M0078,3,2025-01-28,0.211
V001624,M0049,3,2024-07-25,0.21
V000936,M0048,2,2025-11-26,-0.284
V004794,M0082,5,2024-08-08,0.554
V004237,M0087,5,2025-02-28,0.626
V000938,M0086,4,2025-06-24,0.28
V003690,M0001,5,2024-12-10,0.343
V004028,M0049,5,2025-11-01,0.605
V002292,M0044,5,2024-09-04,0.764
V000175,M0096,4,2025-07-09,0.195
V003334,M0045,4,2024-09-17,0.427
V002357,M0021,2,2025-11-28,-0.172
V001681,M0019,2,2025-03-06,-0.084
V000108,M0043,3,2024-12-22,-0.278
V002677,M0071,5,2024-07-25,0.812
V003355,M0083,3,2025-04-23,0.1
V001779,M0069,3,2024-10-19,-0.124
V001792,M0067,5,2025-08-03,0.877
V000308,M0011,2,2024-08-03,-0.069
V002202,M0042,4,2025-08-02,0.29
V001348,M0070,3,2025-07-02,0.172
V001859,M0098,5,2025-02-09,0.567
V004442,M0005,2,2024-12-20,-0.44
V000276,M0006,2,2024-12-09,-0.011
V003136,M0092,2,2025-01-01,-0.277
V003931,M0002,4,2025-11-03,0.147
V000281,M0039,2,2024-09-08,-0.314
V000116,M0044,4,2024-09-13,0.591
V001095,M0089,4,2024-09-23,0.524
V001970,M0045,4,2024-12-28,0.5
V001569,M0032,2,2024-09-01,-0.343
V003531,M0030,3,2025-02-28,0.218
V001373,M0012,4,2025-04-30,0.28
V004395,M0078,1,2025-07-22,-0.354
V004749,M0058,3,2025-08-08,-0.198
V004294,M0091,3,2025-05-31,-0.122
V004545,M0082,5,2024-08-01,0.365
V003231,M0007,3,2025-07-05,0.04
V002660,M0096,5,2025-08-28,0.768
V003334,M0083,4,2025-10-01,0.502
